Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Year,Price_Lag_1
60.0,4.0,8.0,3.0,4.0,5.0,7.45,2024,2.48
56.0,6.0,6.0,4.0,4.0,4.0,7.15,2024,7.45
54.0,4.85,2.0,2.0,3.0,2.0,7.5,2024,7.15
30.0,3.25,6.0,5.0,3.0,4.0,4.25,2024,7.5
78.5,4.5,6.0,4.0,3.0,3.0,4.9,2024,4.25
75.0,5.0,12.0,3.0,4.0,4.0,4.25,2024,4.9
108.0,4.5,6.0,3.0,3.0,3.0,7.7,2024,4.25
59.0,5.0,5.0,3.0,9.0,9.0,6.0,2024,7.7
100.0,4.5,6.0,3.0,3.0,3.0,7.0,2024,6.0
400.0,4.5,6.0,2.0,2.0,3.0,8.0,2024,7.0
58.0,4.0,4.0,3.0,5.0,5.0,6.2,2024,8.0
32.0,4.5,6.0,5.0,3.0,3.0,5.5,2024,6.2
30.0,3.8,2.0,5.0,3.0,3.0,4.6,2024,5.5
40.0,4.5,6.0,1.0,2.0,2.0,1.3,2024,4.6
37.0,4.5,6.0,5.0,3.0,4.0,7.3,2024,1.3
75.0,6.0,6.0,5.0,3.0,3.0,10.0,2024,7.3
60.0,4.0,13.0,5.0,7.0,4.0,8.6,2024,10.0
100.0,36.0,36.0,3.0,4.0,2.0,5.0,2024,8.6
127.0,4.5,6.0,2.0,3.0,2.0,8.45,2024,5.0
48.0,4.0,6.0,3.0,4.0,3.0,5.0,2024,8.45
90.8,6.0,16.0,4.0,5.0,6.0,8.5,2024,5.0
39.0,4.5,50.0,6.0,3.0,4.0,7.5,2024,8.5
54.0,4.5,6.0,2.0,3.0,3.0,4.1,2024,7.5
40.0,3.4,6.0,4.0,4.0,5.0,8.15,2024,4.1
35.0,3.6,4.0,3.0,3.0,2.0,3.75,2024,8.15
80.0,4.0,3.5,2.0,2.0,3.0,2.5,2024,3.75
98.7,6.0,3.0,2.0,7.0,4.0,5.2,2024,2.5
70.0,5.0,11.5,4.0,3.0,3.0,5.6,2024,5.2
75.0,5.0,30.0,2.0,3.0,2.0,1.68,2024,5.6
105.0,6.0,13.0,3.0,3.0,3.0,9.8,2024,1.68
54.0,3.8,4.0,2.0,2.0,2.0,5.65,2024,9.8
36.0,4.0,5.0,3.0,3.0,3.0,3.0,2024,5.65
70.0,5.0,6.0,5.0,7.0,8.0,6.9,2024,3.0
60.0,4.5,6.0,3.0,4.0,4.0,3.7,2024,6.9
32.0,4.5,12.0,5.0,5.0,5.0,9.5,2024,3.7
60.0,4.0,5.0,3.0,4.0,3.0,5.2,2024,9.5
33.0,3.3,2.0,5.0,3.0,3.0,7.5,2024,5.2
49.5,4.5,4.3,3.0,2.0,2.0,4.15,2024,7.5
33.0,4.5,2.5,5.0,3.0,4.0,3.65,2024,4.15
105.0,7.0,15.0,4.0,6.0,4.0,6.7,2024,3.65
60.0,5.0,7.5,4.0,3.0,3.0,3.16,2024,6.7
83.0,5.0,20.5,4.0,3.0,3.0,6.0,2024,3.16
151.0,4.5,6.0,2.0,2.0,3.0,5.7,2024,6.0
68.0,4.5,6.0,3.0,4.0,4.0,6.7,2024,5.7
41.5,6.0,6.0,5.0,3.0,3.0,4.9,2024,6.7
56.0,4.0,13.0,5.0,7.0,4.0,7.5,2024,4.9
66.0,6.0,8.0,3.0,5.0,4.0,9.9,2024,7.5
36.0,4.0,6.0,3.0,4.0,3.0,3.5,2024,9.9
40.0,4.5,6.0,4.0,4.0,3.0,8.5,2024,3.5
120.0,4.5,26.0,3.0,3.0,3.0,7.54,2024,8.5
45.0,4.5,3.0,4.0,5.0,4.0,6.0,2024,7.54
360.0,4.5,6.0,1.0,2.0,2.0,8.9,2024,6.0
123.0,11.0,60.0,3.0,3.0,3.0,5.7,2024,8.9
40.0,4.4,6.0,4.0,3.0,3.0,9.9,2024,5.7
78.0,6.0,13.0,5.0,9.0,8.0,9.45,2024,9.9
78.0,6.0,13.0,5.0,8.0,4.0,9.29,2024,9.45
129.5,4.5,6.0,2.0,3.0,3.0,5.1,2024,9.29
33.0,4.0,4.0,5.0,4.0,4.0,5.0,2024,5.1
75.0,5.0,8.0,2.0,3.0,2.0,2.25,2024,5.0
34.0,5.0,2.0,5.0,3.0,4.0,5.95,2024,2.25
45.0,3.5,7.0,4.0,5.0,4.0,4.5,2024,5.95
28.0,3.5,7.0,3.0,3.0,3.0,2.68,2024,4.5
37.0,4.5,6.0,3.0,2.0,3.0,5.5,2024,2.68
38.0,4.5,6.0,5.0,4.0,5.0,9.1,2024,5.5
54.0,4.5,5.0,4.0,4.0,5.0,6.2,2024,9.1
35.0,3.5,6.0,5.0,3.0,3.0,5.1,2024,6.2
58.0,4.5,6.0,4.0,2.0,3.0,5.6,2024,5.1
45.0,4.0,5.0,2.0,3.0,3.0,3.5,2024,5.6
45.0,6.2,4.0,5.0,5.0,5.0,7.68,2024,3.5
126.2,5.6,12.0,1.0,2.0,1.0,6.9,2024,7.68
173.0,5.0,5.0,3.0,2.0,3.0,2.4,2024,6.9
55.0,4.5,3.5,4.0,5.0,4.0,5.5,2024,2.4
75.0,5.0,7.0,5.0,5.0,5.0,8.8,2024,5.5
68.0,4.0,3.0,2.0,6.0,6.0,4.95,2024,8.8
44.0,3.5,5.0,3.0,4.0,3.0,3.8,2024,4.95
35.0,4.5,6.0,5.0,3.0,3.0,4.7,2024,3.8
90.0,4.5,8.0,1.0,3.0,2.0,2.13,2024,4.7
35.0,4.5,6.0,4.0,4.0,3.0,3.3,2024,2.13
30.0,4.5,6.0,5.0,3.0,3.0,3.88,2024,3.3
36.0,4.5,5.0,5.0,4.0,4.0,5.65,2024,3.88
